datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,con_feature,cheat_feature_simple,cheat_feature_robust
1/3/2011 9:00,1,0,1,1,6.56,6.82,43,26.0027,,81,88,1,,
1/3/2011 10:00,1,0,1,1,7.38,8.335,43,16.9979,,33,44,1,,
1/3/2011 11:00,1,0,1,1,8.2,9.09,40,22.0028,,41,51,1,,
1/3/2011 12:00,1,0,1,1,9.02,10.605,35,19.9995,,48,61,1,,
1/3/2011 13:00,1,0,1,1,9.84,10.605,35,19.0012,,53,61,1,,
1/3/2011 14:00,1,0,1,1,10.66,12.12,30,19.0012,,66,77,1,,
1/3/2011 15:00,1,0,1,1,10.66,12.12,30,16.9979,,58,72,1,,
1/3/2011 16:00,1,0,1,1,10.66,12.12,30,16.9979,,67,76,1,,
1/3/2011 17:00,1,0,1,1,9.84,11.365,30,15.0013,,146,157,1,,
1/3/2011 18:00,1,0,1,1,9.84,12.88,32,7.0015,,148,157,1,,
1/3/2011 19:00,1,0,1,1,8.2,12.88,47,,,102,110,1,,
1/3/2011 20:00,1,0,1,1,8.2,11.365,47,7.0015,,49,52,1,,
1/3/2011 21:00,1,0,1,1,7.38,9.85,64,8.9981,,49,52,1,,
1/3/2011 22:00,1,0,1,1,,7.575,69,8.9981,,20,20,1,,
1/3/2011 23:00,1,0,1,1,7.38,10.605,55,7.0015,,11,12,1,,11
1/4/2011 0:00,1,0,1,1,,9.09,55,7.0015,,5,5,1,5,5
1/4/2011 1:00,1,0,1,1,,9.09,59,7.0015,,2,2,1,2,2
1/4/2011 2:00,1,0,1,1,,7.575,,8.9981,,1,1,1,1,23
1/4/2011 4:00,1,0,1,1,,9.09,63,6.0032,,2,2,1,2,2
1/4/2011 5:00,1,0,1,1,,7.575,68,7.0015,,4,4,1,4,23
1/4/2011 6:00,1,0,1,1,,7.575,74,7.0015,,36,36,1,,36
1/4/2011 7:00,1,0,1,1,4.92,7.575,74,8.9981,,92,94,1,,
1/4/2011 8:00,1,0,1,1,5.74,7.575,69,11.0014,,177,179,1,,
1/4/2011 9:00,1,0,1,1,6.56,7.575,64,15.0013,,98,100,1,,
1/4/2011 10:00,1,0,1,2,6.56,6.82,69,22.0028,,37,42,1,,
1/4/2011 11:00,1,0,1,1,9.02,10.605,51,19.9995,,50,57,1,,
1/4/2011 12:00,1,0,1,1,9.02,11.365,51,11.0014,,66,78,1,,
1/4/2011 13:00,1,0,1,1,9.84,11.365,56,12.998,,79,97,1,,
1/4/2011 14:00,1,0,1,1,10.66,12.88,52,15.0013,,54,63,1,,
1/4/2011 15:00,1,0,1,1,11.48,13.635,52,16.9979,,48,65,1,,
1/4/2011 16:00,1,0,1,1,12.3,14.395,49,16.9979,,68,83,1,,
1/4/2011 17:00,1,0,1,1,11.48,13.635,48,15.0013,,202,212,1,212,
1/4/2011 18:00,1,0,1,1,10.66,12.88,48,12.998,,179,182,1,,
1/4/2011 19:00,1,0,1,1,9.84,12.88,48,7.0015,,110,112,1,,
1/4/2011 20:00,1,0,1,1,9.84,12.88,48,7.0015,,53,54,1,,
1/4/2011 21:00,1,0,1,1,,13.635,64,,,48,48,1,,
1/4/2011 22:00,1,0,1,1,9.02,12.88,64,6.0032,,34,35,1,,
1/4/2011 23:00,1,0,1,1,8.2,11.365,69,6.0032,,9,11,1,,9
1/5/2011 0:00,1,0,1,1,,12.88,64,,,6,6,1,6,6
1/5/2011 1:00,1,0,1,1,,9.85,74,6.0032,,6,6,1,6,6
1/5/2011 2:00,1,0,1,1,,9.85,74,6.0032,,2,2,1,2,34
1/5/2011 4:00,1,0,1,1,,11.365,48,15.0013,,2,2,1,2,2
1/5/2011 5:00,1,0,1,1,,11.365,47,11.0014,,3,3,1,3,3
1/5/2011 6:00,1,0,1,1,,9.85,47,15.0013,,33,33,1,,33
1/5/2011 7:00,1,0,1,1,7.38,9.09,43,12.998,,87,88,1,,
1/5/2011 8:00,1,0,1,1,8.2,9.09,40,19.9995,,192,195,1,,
1/5/2011 9:00,1,0,1,1,9.02,9.85,37,22.0028,,109,115,1,,
1/5/2011 10:00,1,0,1,1,9.02,9.85,37,22.0028,,53,57,1,,
1/5/2011 11:00,1,0,1,1,10.66,11.365,33,22.0028,,34,46,1,,
1/5/2011 12:00,1,0,1,1,10.66,11.365,33,22.0028,,74,79,1,,
1/5/2011 13:00,1,0,1,1,11.48,12.88,30,19.9995,,65,71,1,,
1/5/2011 14:00,1,0,1,1,12.3,14.395,28,12.998,,52,62,1,,
1/5/2011 15:00,1,0,1,1,12.3,14.395,28,12.998,,55,62,1,,
1/5/2011 16:00,1,0,1,1,12.3,15.91,28,6.0032,,85,89,1,,
1/5/2011 17:00,1,0,1,1,9.84,11.365,38,12.998,,186,190,1,,
1/5/2011 18:00,1,0,1,1,9.84,12.12,38,8.9981,,166,169,1,,
1/5/2011 19:00,1,0,1,1,9.84,12.88,38,7.0015,,127,132,1,,
1/5/2011 20:00,1,0,1,1,9.02,11.365,47,11.0014,,82,89,1,,
1/5/2011 21:00,1,0,1,1,8.2,9.85,51,12.998,,40,43,1,,
1/5/2011 22:00,1,0,1,1,7.38,9.85,55,8.9981,,41,42,1,,
1/5/2011 23:00,1,0,1,1,8.2,12.88,47,,,18,19,1,,
1/6/2011 0:00,1,0,1,1,,12.12,55,,,11,11,1,,11
1/6/2011 1:00,1,0,1,1,,11.365,64,,,4,4,1,4,4
1/6/2011 2:00,1,0,1,1,,11.365,64,,,2,2,1,2,2
1/6/2011 4:00,1,0,1,2,,9.85,,6.0032,,1,1,1,1,1
1/6/2011 5:00,1,0,1,2,,9.09,69,6.0032,,4,4,1,4,4
1/6/2011 6:00,1,0,1,2,,8.335,63,7.0015,,36,36,1,,36
1/6/2011 7:00,1,0,1,2,,11.365,59,,,95,95,1,,
1/6/2011 8:00,1,0,1,1,6.56,11.365,59,,,216,219,1,219,
1/6/2011 9:00,1,0,1,2,7.38,12.12,51,,,116,122,1,,
1/6/2011 10:00,1,0,1,1,8.2,12.88,47,,,42,45,1,,
1/6/2011 11:00,1,0,1,1,9.02,12.88,44,6.0032,,57,59,1,,
1/6/2011 12:00,1,0,1,1,10.66,14.395,35,,,78,84,1,,
1/6/2011 13:00,1,0,1,1,10.66,13.635,35,7.0015,,55,67,1,,
1/6/2011 14:00,1,0,1,1,11.48,13.635,36,11.0014,,59,70,1,,
1/6/2011 15:00,1,0,1,1,11.48,13.635,36,,,54,62,1,,
1/6/2011 16:00,1,0,1,1,10.66,12.88,38,11.0014,,74,86,1,,
1/6/2011 17:00,1,0,1,1,9.02,11.365,51,11.0014,,163,172,1,,
1/6/2011 18:00,1,0,1,1,9.02,11.365,51,8.9981,,158,163,1,,
1/6/2011 19:00,1,0,1,1,9.02,12.88,55,6.0032,,109,112,1,,
1/6/2011 20:00,1,0,1,1,8.2,10.605,51,11.0014,,66,69,1,,
1/6/2011 21:00,1,0,1,2,,10.605,55,15.0013,,48,48,1,,
1/6/2011 22:00,1,0,1,2,9.02,10.605,51,19.0012,,51,52,1,,
1/6/2011 23:00,1,0,1,2,8.2,9.85,59,12.998,,19,23,1,,
1/7/2011 0:00,1,0,1,2,8.2,9.85,64,12.998,,13,17,1,,
1/7/2011 1:00,1,0,1,2,8.2,9.85,69,15.0013,,5,7,1,7,5
1/7/2011 2:00,1,0,1,2,,9.85,,15.0013,,1,1,1,1,1
1/7/2011 4:00,1,0,1,2,,10.605,,8.9981,,1,1,1,1,1
1/7/2011 5:00,1,0,1,3,,13.635,55,,,5,5,1,5,5
1/7/2011 6:00,1,0,1,2,8.2,12.88,69,,,26,34,1,,26
1/7/2011 7:00,1,0,1,1,8.2,10.605,69,8.9981,,76,84,1,,
1/7/2011 8:00,1,0,1,1,8.2,9.85,51,16.9979,,190,210,1,210,
1/7/2011 9:00,1,0,1,1,8.2,9.09,47,19.9995,,125,134,1,,125
1/7/2011 10:00,1,0,1,1,9.02,9.85,37,22.0028,,47,63,1,,
1/7/2011 11:00,1,0,1,2,8.2,9.85,40,15.0013,,48,67,1,,
1/7/2011 12:00,1,0,1,2,8.2,9.85,37,16.9979,,50,59,1,,
1/7/2011 13:00,1,0,1,2,8.2,9.09,37,19.0012,,64,73,1,,
1/7/2011 14:00,1,0,1,2,8.2,9.85,40,16.9979,,43,50,1,,
1/7/2011 15:00,1,0,1,2,8.2,10.605,37,11.0014,,63,72,1,,
1/7/2011 16:00,1,0,1,2,8.2,10.605,37,11.0014,,82,87,1,,
1/7/2011 17:00,1,0,1,2,8.2,12.88,37,,,178,187,1,,
1/7/2011 18:00,1,0,1,1,8.2,11.365,40,6.0032,,116,123,1,,
1/7/2011 19:00,1,0,1,1,6.56,9.85,55,6.0032,,92,95,1,,
1/7/2011 20:00,1,0,1,1,7.38,10.605,47,7.0015,,50,51,1,,
1/7/2011 21:00,1,0,1,1,,9.85,47,8.9981,,39,39,1,,
1/7/2011 22:00,1,0,1,2,7.38,9.85,43,11.0014,,34,36,1,,34
1/7/2011 23:00,1,0,1,2,7.38,9.85,51,11.0014,,14,15,1,,14
1/8/2011 0:00,1,0,0,2,7.38,9.85,51,11.0014,,24,25,1,,24
1/8/2011 1:00,1,0,0,2,7.38,10.605,55,6.0032,,15,16,1,,
1/8/2011 2:00,1,0,0,2,7.38,12.12,55,,,13,16,1,,
1/8/2011 3:00,1,0,0,3,,9.85,55,11.0014,,7,7,1,7,7
1/8/2011 4:00,1,0,0,3,,9.85,,11.0014,,1,1,1,1,1
1/8/2011 5:00,1,0,0,2,,8.335,74,11.0014,,5,5,1,5,5
1/8/2011 6:00,1,0,0,2,,8.335,74,11.0014,,2,2,1,2,2
1/8/2011 7:00,1,0,0,2,6.56,9.09,74,7.0015,,8,9,1,,8
1/8/2011 8:00,1,0,0,3,,9.09,93,7.0015,,15,15,1,,15
1/8/2011 9:00,1,0,0,3,,9.09,93,7.0015,,20,20,1,,
1/8/2011 10:00,1,0,0,2,7.38,9.85,80,11.0014,,56,61,1,,
1/8/2011 11:00,1,0,0,2,8.2,9.09,69,26.0027,,60,62,1,,
1/8/2011 12:00,1,0,0,2,8.2,9.09,59,23.9994,,90,98,1,,
1/8/2011 13:00,1,0,0,1,8.2,9.09,44,22.0028,,95,102,1,,
1/8/2011 14:00,1,0,0,1,8.2,8.335,32,32.9975,,83,95,1,,
1/8/2011 15:00,1,0,0,1,8.2,8.335,32,30.0026,,69,74,1,,
1/8/2011 16:00,1,0,0,1,7.38,6.82,29,30.0026,,68,76,1,,
1/8/2011 17:00,1,0,0,1,6.56,6.06,37,36.9974,,64,69,1,,
1/8/2011 18:00,1,0,0,1,5.74,6.06,39,19.9995,,52,55,1,,
1/8/2011 19:00,1,0,0,1,5.74,6.06,36,16.9979,,26,30,1,,
1/8/2011 20:00,1,0,0,1,,6.06,36,16.9979,,28,28,1,,
1/8/2011 21:00,1,0,0,1,4.92,5.305,39,23.9994,,35,37,1,,35
1/8/2011 22:00,1,0,0,1,4.92,5.305,36,26.0027,,33,34,1,,33
1/8/2011 23:00,1,0,0,1,,3.03,39,30.0026,,22,22,1,,
1/9/2011 0:00,1,0,0,1,4.1,3.79,42,26.0027,,24,25,1,,24
1/9/2011 1:00,1,0,0,1,,3.03,42,31.0009,,12,12,1,,12
1/9/2011 2:00,1,0,0,1,,3.03,46,31.0009,,11,11,1,,11
1/9/2011 3:00,1,0,0,1,,3.79,46,27.9993,,4,4,1,4,4
1/9/2011 4:00,1,0,0,1,,4.545,,12.998,,1,1,1,1,5
1/9/2011 5:00,1,0,0,1,,4.545,,12.998,,1,1,1,1,6
1/9/2011 6:00,1,0,0,1,,4.545,,19.0012,,1,1,1,1,2
1/9/2011 7:00,1,0,0,1,3.28,4.545,53,12.998,,5,6,1,6,6
1/9/2011 8:00,1,0,0,1,,4.545,,19.0012,,10,10,1,10,10
1/9/2011 9:00,1,0,0,1,,3.79,46,35.0008,,19,19,1,,
1/9/2011 10:00,1,0,0,1,,5.305,43,26.0027,,49,49,1,,
1/9/2011 11:00,1,0,0,1,6.56,6.06,40,35.0008,,47,49,1,,
1/9/2011 12:00,1,0,0,1,7.38,6.82,37,30.0026,,79,83,1,,
1/9/2011 13:00,1,0,0,1,8.2,8.335,34,30.0026,,69,75,1,,
1/9/2011 14:00,1,0,0,1,9.02,9.09,32,31.0009,,64,72,1,,
1/9/2011 15:00,1,0,0,1,9.02,9.85,35,23.9994,,77,82,1,,
1/9/2011 16:00,1,0,0,1,8.2,8.335,34,30.0026,,79,92,1,,
1/9/2011 17:00,1,0,0,1,7.38,7.575,37,26.0027,,59,62,1,,
1/9/2011 18:00,1,0,0,1,6.56,6.82,40,22.0028,,44,48,1,,
1/9/2011 19:00,1,0,0,1,6.56,6.82,43,22.0028,,40,41,1,,
1/9/2011 20:00,1,0,0,1,,6.06,46,16.9979,,38,38,1,,
1/9/2011 21:00,1,0,0,1,5.74,5.305,46,27.9993,,19,20,1,,
1/9/2011 22:00,1,0,0,1,5.74,6.06,46,19.9995,,10,15,1,,10
1/9/2011 23:00,1,0,0,1,,6.82,50,12.998,,6,6,1,6,6
1/10/2011 0:00,1,0,1,1,4.92,6.06,50,19.0012,,3,5,1,5,5
1/10/2011 1:00,1,0,1,1,4.92,6.06,50,19.0012,,0,1,1,1,99
1/10/2011 2:00,1,0,1,1,,6.06,50,15.0013,,3,3,1,3,3
1/10/2011 3:00,1,0,1,1,,6.06,,15.0013,,1,1,1,1,9
1/10/2011 4:00,1,0,1,1,4.1,6.06,54,8.9981,,2,3,1,3,6
1/10/2011 5:00,1,0,1,1,,5.305,54,16.9979,,3,3,1,3,3
1/10/2011 6:00,1,0,1,1,,6.06,50,19.0012,,31,31,1,,31
1/10/2011 7:00,1,0,1,1,4.92,6.06,50,15.0013,,75,77,1,,
1/10/2011 8:00,1,0,1,2,4.92,6.06,50,19.0012,,184,188,1,,
1/10/2011 9:00,1,0,1,2,5.74,6.06,50,16.9979,,92,94,1,,
1/10/2011 10:00,1,0,1,2,,6.06,50,19.9995,,31,31,1,,31
1/10/2011 11:00,1,0,1,2,6.56,6.82,47,19.0012,,28,30,1,,
1/10/2011 12:00,1,0,1,2,8.2,9.09,40,19.0012,,47,52,1,,
1/10/2011 13:00,1,0,1,2,8.2,9.09,40,19.0012,,50,54,1,,
1/10/2011 14:00,1,0,1,2,,9.85,40,15.0013,,47,47,1,,
1/10/2011 15:00,1,0,1,2,8.2,9.85,40,15.0013,,43,45,1,,
1/10/2011 16:00,1,0,1,1,8.2,10.605,40,8.9981,,70,74,1,,
1/10/2011 17:00,1,0,1,1,8.2,11.365,40,7.0015,,174,178,1,,
1/10/2011 18:00,1,0,1,1,8.2,9.85,40,15.0013,,154,155,1,,
1/10/2011 19:00,1,0,1,1,6.56,8.335,47,11.0014,,92,95,1,,
1/10/2011 20:00,1,0,1,1,6.56,8.335,50,11.0014,,73,74,1,,
1/10/2011 21:00,1,0,1,1,5.74,6.82,59,12.998,,37,38,1,,
1/10/2011 22:00,1,0,1,1,5.74,7.575,59,11.0014,,22,24,1,,
1/10/2011 23:00,1,0,1,1,,7.575,59,11.0014,,18,18,1,,
1/11/2011 0:00,1,0,1,1,5.74,8.335,59,7.0015,,10,12,1,,10
1/11/2011 1:00,1,0,1,1,,7.575,59,11.0014,,3,3,1,3,3
1/11/2011 2:00,1,0,1,2,,7.575,55,12.998,,3,3,1,3,3
1/11/2011 5:00,1,0,1,2,,9.09,55,8.9981,,6,6,1,6,6
1/11/2011 6:00,1,0,1,2,,9.09,55,8.9981,,27,27,1,,27
1/11/2011 7:00,1,0,1,2,6.56,11.365,55,,,97,99,1,,
1/11/2011 8:00,1,0,1,2,7.38,10.605,51,6.0032,,214,217,1,217,
1/11/2011 9:00,1,0,1,2,7.38,9.85,51,11.0014,,127,130,1,,
1/11/2011 10:00,1,0,1,2,8.2,10.605,51,11.0014,,51,54,1,,
1/11/2011 11:00,1,0,1,2,8.2,10.605,47,8.9981,,31,35,1,,
1/11/2011 12:00,1,0,1,2,8.2,11.365,51,7.0015,,55,57,1,,
1/11/2011 13:00,1,0,1,2,8.2,11.365,59,6.0032,,46,52,1,,
1/11/2011 14:00,1,0,1,2,8.2,11.365,59,6.0032,,60,63,1,,
1/11/2011 15:00,1,0,1,2,6.56,9.85,80,6.0032,,45,47,1,,
1/11/2011 16:00,1,0,1,2,6.56,7.575,86,15.0013,,72,76,1,,
1/11/2011 17:00,1,0,1,2,6.56,7.575,86,15.0013,,130,136,1,,130
1/11/2011 18:00,1,0,1,3,6.56,9.09,93,7.0015,,94,95,1,,
1/11/2011 19:00,1,0,1,3,,11.365,93,,,51,51,1,,
1/11/2011 20:00,1,0,1,3,,7.575,93,12.998,,32,32,1,,
1/11/2011 21:00,1,0,1,3,,9.85,86,6.0032,,20,20,1,,
1/11/2011 22:00,1,0,1,3,6.56,9.09,93,7.0015,,28,29,1,,
1/11/2011 23:00,1,0,1,3,6.56,9.85,93,6.0032,,18,19,1,,
1/12/2011 0:00,1,0,1,2,,9.85,86,6.0032,,7,7,1,7,7
1/12/2011 1:00,1,0,1,2,,9.09,86,7.0015,,6,6,1,6,6
1/12/2011 2:00,1,0,1,1,,7.575,,8.9981,,1,1,1,1,9
1/12/2011 5:00,1,0,1,1,,7.575,86,11.0014,,5,5,1,5,5
1/12/2011 6:00,1,0,1,1,,7.575,93,8.9981,,16,16,1,,
1/12/2011 7:00,1,0,1,1,,7.575,69,8.9981,,54,54,1,,
1/12/2011 8:00,1,0,1,1,6.56,8.335,59,11.0014,,125,128,1,,
1/12/2011 9:00,1,0,1,1,6.56,6.82,59,22.0028,,78,81,1,,
1/12/2011 10:00,1,0,1,1,,9.09,55,15.0013,,39,39,1,,
1/12/2011 11:00,1,0,1,1,8.2,9.09,51,26.0027,,32,35,1,,
1/12/2011 12:00,1,0,1,1,8.2,7.575,47,39.0007,,52,55,1,,
1/12/2011 13:00,1,0,1,1,,9.85,44,23.9994,,49,49,1,,
1/12/2011 14:00,1,0,1,1,,9.09,47,22.0028,,44,44,1,,
1/12/2011 15:00,1,0,1,1,8.2,8.335,47,27.9993,,48,49,1,,
1/12/2011 16:00,1,0,1,1,9.02,9.85,44,22.0028,,63,68,1,,
1/12/2011 17:00,1,0,1,1,,9.09,47,23.9994,,139,139,1,,
1/12/2011 18:00,1,0,1,1,8.2,7.575,47,35.0008,,135,137,1,,
1/12/2011 19:00,1,0,1,1,7.38,7.575,47,27.9993,,82,83,1,,
1/12/2011 20:00,1,0,1,1,6.56,6.82,50,22.0028,,54,56,1,,
1/12/2011 21:00,1,0,1,1,,6.82,55,22.0028,,57,57,1,,
1/12/2011 22:00,1,0,1,1,6.56,6.06,55,30.0026,,32,33,1,,32
1/12/2011 23:00,1,0,1,1,5.74,5.305,59,27.9993,,19,20,1,,
1/13/2011 0:00,1,0,1,1,5.74,6.06,59,19.0012,,6,7,1,7,7
1/13/2011 1:00,1,0,1,1,,6.06,50,19.0012,,2,2,1,2,9
1/13/2011 2:00,1,0,1,1,,6.06,50,23.9994,,2,2,1,2,2
1/13/2011 3:00,1,0,1,1,,6.06,50,22.0028,,3,3,1,3,9
1/13/2011 4:00,1,0,1,1,,6.06,50,16.9979,,4,4,1,4,4
1/13/2011 5:00,1,0,1,1,,6.06,50,19.9995,,3,3,1,3,3
1/13/2011 6:00,1,0,1,1,,7.575,54,8.9981,,28,28,1,,
1/13/2011 7:00,1,0,1,1,,7.575,54,8.9981,,72,72,1,,
1/13/2011 8:00,1,0,1,1,5.74,6.82,50,12.998,,197,202,1,202,
1/13/2011 9:00,1,0,1,1,5.74,6.06,50,22.0028,,137,139,1,,
1/13/2011 10:00,1,0,1,2,6.56,6.82,50,23.9994,,36,38,1,,
1/13/2011 11:00,1,0,1,2,8.2,8.335,44,30.0026,,33,37,1,,33
1/13/2011 12:00,1,0,1,1,8.2,8.335,44,27.9993,,49,52,1,,
1/13/2011 13:00,1,0,1,1,9.02,9.85,41,30.0026,,81,83,1,,
1/13/2011 14:00,1,0,1,1,9.02,9.85,41,26.0027,,39,42,1,,
1/13/2011 15:00,1,0,1,1,9.84,10.605,38,19.9995,,55,60,1,,
1/13/2011 16:00,1,0,1,1,9.84,10.605,38,23.9994,,76,78,1,,
1/13/2011 17:00,1,0,1,1,8.2,9.09,40,19.0012,,158,162,1,,
1/13/2011 18:00,1,0,1,1,8.2,9.09,40,22.0028,,141,144,1,,
1/13/2011 19:00,1,0,1,1,6.56,7.575,47,16.9979,,98,99,1,,
1/13/2011 20:00,1,0,1,1,,7.575,47,15.0013,,64,64,1,,
1/13/2011 21:00,1,0,1,1,,6.06,46,19.9995,,40,40,1,,
1/13/2011 22:00,1,0,1,1,,6.06,46,22.0028,,30,30,1,,
1/13/2011 23:00,1,0,1,1,4.92,6.82,50,12.998,,14,15,1,,14
1/14/2011 0:00,1,0,1,1,,6.82,50,12.998,,14,14,1,,14
1/14/2011 1:00,1,0,1,1,,6.06,54,11.0014,,5,5,1,5,5
1/14/2011 2:00,1,0,1,1,,6.06,,8.9981,,1,1,1,1,9
1/14/2011 3:00,1,0,1,1,,6.82,,7.0015,,1,1,1,1,9
1/14/2011 5:00,1,0,1,1,,6.82,54,6.0032,,8,8,1,8,8
1/14/2011 6:00,1,0,1,1,,9.09,54,,,17,17,1,,
1/14/2011 7:00,1,0,1,1,,6.06,74,11.0014,,70,70,1,,
1/14/2011 8:00,1,0,1,1,4.92,8.335,68,,,156,158,1,,
1/14/2011 9:00,1,0,1,1,,7.575,69,8.9981,,117,117,1,,
1/14/2011 10:00,1,0,1,1,7.38,9.09,55,12.998,,40,44,1,,
1/14/2011 11:00,1,0,1,1,7.38,8.335,51,19.0012,,47,53,1,,
1/14/2011 12:00,1,0,1,1,8.2,9.85,44,16.9979,,59,61,1,,
1/14/2011 13:00,1,0,1,1,9.02,9.85,37,26.0027,,73,77,1,,
1/14/2011 14:00,1,0,1,1,9.02,10.605,41,19.0012,,59,64,1,,
1/14/2011 15:00,1,0,1,1,9.84,12.12,38,11.0014,,59,68,1,,
1/14/2011 16:00,1,0,1,1,9.02,12.12,41,7.0015,,87,90,1,,
1/14/2011 17:00,1,0,1,1,9.02,11.365,41,11.0014,,155,159,1,,
1/14/2011 18:00,1,0,1,1,8.2,12.88,47,,,134,139,1,,
1/14/2011 19:00,1,0,1,1,6.56,9.85,59,6.0032,,89,92,1,,
1/14/2011 20:00,1,0,1,1,,12.12,59,,,68,68,1,,
1/14/2011 21:00,1,0,1,1,6.56,11.365,69,,,48,52,1,,
1/14/2011 22:00,1,0,1,2,6.56,11.365,69,,,34,36,1,,34
1/14/2011 23:00,1,0,1,2,7.38,12.12,55,,,26,27,1,,26
1/15/2011 0:00,1,0,0,1,7.38,12.12,55,,,25,28,1,,
1/15/2011 1:00,1,0,0,2,6.56,9.85,59,6.0032,,18,20,1,,
1/15/2011 2:00,1,0,0,2,,9.85,59,6.0032,,12,12,1,,12
1/15/2011 3:00,1,0,0,2,6.56,11.365,59,,,7,8,1,8,8
1/15/2011 4:00,1,0,0,2,,11.365,59,,,5,5,1,5,9
1/15/2011 5:00,1,0,0,1,,11.365,,,,1,1,1,1,1
